! FILETYPE CSV
! VERSION 3.0,1
! TIMESTAMP Thursday, 25 February 2021 04:25:17
! TIMEZONE (UTC+08:00) Kuala Lumpur, Singapore
! NAME Keysight Technologies
! MODEL N9916A
! SERIAL MY58312356
! FIRMWARE_VERSION A.11.26
! CORRECTION 
! Application SA
! SA Frequency Scan
!  CenterFreq 4250000000
!  SpanFreq 100000
!  Num TracePoints 1001
!  ResolutionBW 3
!  VideoBW 3
!  RF Attenuation 0
!  Preamp OFF
!  External Gain 0
!  Detector Positive
!  TraceAvgCount 1 / 1
! Missing Trace TIMESTAMP... measurement incomplete... try using Single Sweep
! CHECKSUM 1468411896
! DATA Freq,SA Clear-Write,SA Blank,SA Blank,SA Blank
! FREQ UNIT Hz
! DATA UNIT dBm
BEGIN
4249950000,-129.107772827148,0,0,0
4249950100,-130.614212036133,0,0,0
4249950200,-130.779876708984,0,0,0
4249950300,-129.512130737305,0,0,0
4249950400,-130.818130493164,0,0,0
4249950500,-129.365203857422,0,0,0
4249950600,-130.546096801758,0,0,0
4249950700,-131.063812255859,0,0,0
4249950800,-132.927459716797,0,0,0
4249950900,-127.228935241699,0,0,0
4249951000,-129.506134033203,0,0,0
4249951100,-129.258163452148,0,0,0
4249951200,-129.806640625,0,0,0
4249951300,-129.64909362793,0,0,0
4249951400,-131.532272338867,0,0,0
4249951500,-130.512619018555,0,0,0
4249951600,-130.70654296875,0,0,0
4249951700,-127.983848571777,0,0,0
4249951800,-131.406936645508,0,0,0
4249951900,-130.442489624023,0,0,0
4249952000,-130.579513549805,0,0,0
4249952100,-130.001266479492,0,0,0
4249952200,-130.226470947266,0,0,0
4249952300,-129.50016784668,0,0,0
4249952400,-129.164428710938,0,0,0
4249952500,-131.289001464844,0,0,0
4249952600,-131.764373779297,0,0,0
4249952700,-129.244934082031,0,0,0
4249952800,-130.695388793945,0,0,0
4249952900,-129.00895690918,0,0,0
4249953000,-131.232803344727,0,0,0
4249953100,-130.687484741211,0,0,0
4249953200,-128.706726074219,0,0,0
4249953300,-131.147552490234,0,0,0
4249953400,-131.818588256836,0,0,0
4249953500,-129.925765991211,0,0,0
4249953600,-130.357177734375,0,0,0
4249953700,-128.726058959961,0,0,0
4249953800,-129.032241821289,0,0,0
4249953900,-130.282821655273,0,0,0
4249954000,-128.515380859375,0,0,0
4249954100,-129.14485168457,0,0,0
4249954200,-128.71337890625,0,0,0
4249954300,-130.282363891602,0,0,0
4249954400,-131.657028198242,0,0,0
4249954500,-131.032516479492,0,0,0
4249954600,-130.240188598633,0,0,0
4249954700,-129.029830932617,0,0,0
4249954800,-130.305130004883,0,0,0
4249954900,-132.640594482422,0,0,0
4249955000,-129.436172485352,0,0,0
4249955100,-129.772033691406,0,0,0
4249955200,-130.14794921875,0,0,0
4249955300,-131.520446777344,0,0,0
4249955400,-130.75830078125,0,0,0
4249955500,-132.082260131836,0,0,0
4249955600,-130.616363525391,0,0,0
4249955700,-130.268997192383,0,0,0
4249955800,-131.701690673828,0,0,0
4249955900,-131.451614379883,0,0,0
4249956000,-131.756698608398,0,0,0
4249956100,-129.231750488281,0,0,0
4249956200,-130.408294677734,0,0,0
4249956300,-130.099411010742,0,0,0
4249956400,-129.778015136719,0,0,0
4249956500,-131.826889038086,0,0,0
4249956600,-131.229553222656,0,0,0
4249956700,-131.994964599609,0,0,0
4249956800,-130.150466918945,0,0,0
4249956900,-131.557388305664,0,0,0
4249957000,-129.076385498047,0,0,0
4249957100,-130.89811706543,0,0,0
4249957200,-131.811508178711,0,0,0
4249957300,-132.306991577148,0,0,0
4249957400,-130.631622314453,0,0,0
4249957500,-129.336959838867,0,0,0
4249957600,-128.849975585937,0,0,0
4249957700,-131.562408447266,0,0,0
4249957800,-132.901458740234,0,0,0
4249957900,-129.350967407227,0,0,0
4249958000,-127.625022888184,0,0,0
4249958100,-129.784820556641,0,0,0
4249958200,-132.16584777832,0,0,0
4249958300,-128.155319213867,0,0,0
4249958400,-131.618957519531,0,0,0
4249958500,-130.659820556641,0,0,0
4249958600,-130.821151733398,0,0,0
4249958700,-130.840576171875,0,0,0
4249958800,-127.869522094727,0,0,0
4249958900,-129.631561279297,0,0,0
4249959000,-131.359039306641,0,0,0
4249959100,-127.821067810059,0,0,0
4249959200,-130.631896972656,0,0,0
4249959300,-131.034225463867,0,0,0
4249959400,-132.9931640625,0,0,0
4249959500,-128.324005126953,0,0,0
4249959600,-129.575225830078,0,0,0
4249959700,-131.328598022461,0,0,0
4249959800,-128.742645263672,0,0,0
4249959900,-130.5966796875,0,0,0
4249960000,-129.148162841797,0,0,0
4249960100,-129.389556884766,0,0,0
4249960200,-130.5830078125,0,0,0
4249960300,-131.564056396484,0,0,0
4249960400,-131.396362304687,0,0,0
4249960500,-129.191253662109,0,0,0
4249960600,-131.691360473633,0,0,0
4249960700,-130.935485839844,0,0,0
4249960800,-126.641166687012,0,0,0
4249960900,-129.209259033203,0,0,0
4249961000,-130.882965087891,0,0,0
4249961100,-128.764038085937,0,0,0
4249961200,-129.904769897461,0,0,0
4249961300,-130.243148803711,0,0,0
4249961400,-129.875305175781,0,0,0
4249961500,-128.501754760742,0,0,0
4249961600,-131.037445068359,0,0,0
4249961700,-130.922012329102,0,0,0
4249961800,-131.410247802734,0,0,0
4249961900,-129.836959838867,0,0,0
4249962000,-130.989120483398,0,0,0
4249962100,-129.492523193359,0,0,0
4249962200,-131.972442626953,0,0,0
4249962300,-132.229125976562,0,0,0
4249962400,-127.380638122559,0,0,0
4249962500,-129.373580932617,0,0,0
